date,onion_price
2015-01-05,0.25
2015-01-16,0.34
2015-01-23,0.33
2015-01-30,0.33
2015-02-01,0.48
2015-02-10,0.22
2015-02-13,0.33
2015-02-20,0.34
2015-02-27,0.33
2015-03-04,0.9
2015-03-07,0.24
2015-03-13,0.65
2015-03-20,0.74
2015-03-27,0.85
2015-04-09,0.22
2015-04-12,0.23
2015-04-17,0.23
2015-04-24,0.24
2015-05-06,0.23
2015-05-15,0.23
2015-05-22,0.24
2015-05-29,0.24
2015-06-02,0.33
2015-06-03,0.65
2015-06-11,0.23
2015-06-19,0.24
2015-06-26,0.25
2015-07-08,0.23
2015-07-17,0.24
2015-07-24,0.24
2015-07-31,0.23
2015-08-05,0.25
2015-08-14,0.24
2015-08-21,0.24
2015-08-28,0.22
2015-09-01,0.33
2015-09-10,0.23
2015-09-18,0.23
2015-09-25,0.23
2015-10-04,0.26
2015-10-07,0.24
2015-10-16,0.25
2015-10-23,0.23
2015-10-30,0.23
2015-11-09,0.23
2015-11-12,0.23
2015-11-13,0.23
2015-11-20,0.23
2015-11-27,0.23
2015-12-06,0.24
2015-12-18,0.23
2015-12-25,0.23
2016-01-01,0.31
2016-01-04,0.31
2016-01-07,0.27
2016-01-15,0.31
2016-01-22,0.31
2016-01-29,0.31
2016-02-09,0.23
2016-02-12,1.0
2016-02-19,0.31
2016-02-26,0.31
2016-03-06,0.25
2016-03-18,0.31
2016-03-25,0.31
2016-04-03,0.31
2016-04-11,0.23
2016-04-15,0.31
2016-04-22,0.31
2016-04-29,0.3
2016-05-02,0.31
2016-05-08,0.23
2016-05-13,0.27
2016-05-20,0.27
2016-05-27,0.25
2016-06-05,0.29
2016-06-17,0.24
2016-06-24,0.26
2016-07-10,0.22
2016-07-15,0.25
2016-07-22,0.24
2016-07-29,0.24
2016-08-01,0.31
2016-08-04,0.31
2016-08-07,0.25
2016-08-19,0.23
2016-08-26,0.23
2016-09-09,0.23
2016-09-12,1.22
2016-09-16,0.23
2016-09-23,0.23
2016-09-30,0.23
2016-10-06,0.25
2016-10-14,0.23
2016-10-21,0.24
2016-10-28,0.23
2016-11-03,0.31
2016-11-11,0.23
2016-11-18,0.18
2016-11-25,0.19
2016-12-02,0.31
2016-12-08,0.23
2016-12-16,0.64
2016-12-23,0.35
2016-12-30,0.4
2017-01-09,0.26
2017-01-12,0.15
2017-01-13,0.44
2017-01-20,0.42
2017-01-27,0.47
2017-02-06,0.26
2017-02-17,0.53
2017-02-24,0.52
2017-03-02,0.54
2017-03-03,0.44
2017-03-11,0.28
2017-03-17,1.49
2017-03-24,1.5
2017-03-31,0.42
2017-04-08,0.25
2017-04-14,0.32
2017-04-21,0.3
2017-04-28,0.27
2017-05-05,0.26
2017-05-19,0.25
2017-05-26,0.27
2017-06-01,0.43
2017-06-10,0.24
2017-06-16,0.26
2017-06-23,0.27
2017-06-30,0.28
2017-07-04,0.33
2017-07-07,0.26
2017-07-14,0.26
2017-07-21,0.23
2017-07-28,0.26
2017-08-09,0.25
2017-08-12,0.62
2017-08-18,0.25
2017-08-25,0.25
2017-09-06,0.27
2017-09-15,0.25
2017-09-22,0.22
2017-09-29,0.24
2017-10-02,0.56
2017-10-03,0.42
2017-10-11,0.28
2017-10-13,0.24
2017-10-20,0.26
2017-10-27,0.27
2017-11-08,0.25
2017-11-17,0.58
2017-11-24,0.55
2017-12-05,0.26
2017-12-15,0.62
2017-12-22,0.62
2017-12-29,0.62
2018-01-06,0.24
2018-01-19,0.34
2018-01-26,0.34
2018-02-02,0.34
2018-02-03,0.36
2018-02-11,0.31
2018-02-16,0.35
2018-02-23,0.35
2018-03-08,0.27
2018-03-16,0.33
2018-03-23,0.33
2018-03-30,0.31
2018-04-05,0.29
2018-04-13,1.08
2018-04-20,0.3
2018-04-27,0.25
2018-05-01,1.07
2018-05-10,0.24
2018-05-18,0.24
2018-05-25,0.26
2018-06-04,1.01
2018-06-07,0.25
2018-06-15,0.23
2018-06-22,0.26
2018-06-29,0.24
2018-07-09,0.26
2018-07-12,0.78
2018-07-13,0.25
2018-07-20,0.26
2018-07-27,0.28
2018-08-06,0.24
2018-08-17,0.25
2018-08-24,0.25
2018-08-31,0.26
2018-09-02,0.34
2018-09-03,0.34
2018-09-11,0.26
2018-09-14,0.26
2018-09-21,0.25
2018-09-28,0.25
2018-10-08,0.24
2018-10-19,0.25
2018-10-26,0.24
2018-11-05,0.28
2018-11-16,0.26
2018-11-23,0.86
2018-11-30,0.65
2018-12-01,0.34
2018-12-10,0.25
2018-12-14,0.82
2018-12-21,0.91
2018-12-28,0.93
2019-01-02,0.45
2019-01-03,0.4
2019-01-11,0.25
2019-01-18,0.4
2019-01-25,1.58
2019-02-08,0.27
2019-02-15,0.42
2019-02-22,0.4
2019-03-05,0.26
2019-03-15,0.36
2019-03-22,1.28
2019-03-29,1.84
2019-04-01,
2019-04-10,0.25
2019-04-19,0.26
2019-04-26,0.26
2019-05-04,0.33
2019-05-07,0.25
2019-05-17,0.27
2019-05-24,0.27
2019-05-31,0.27
2019-06-09,0.26
2019-06-12,0.83
2019-06-14,0.3
2019-06-21,0.23
2019-06-28,0.25
2019-07-06,0.26
2019-07-19,0.26
2019-07-26,0.27
2019-08-02,0.44
2019-08-03,0.38
2019-08-11,0.2
2019-08-16,0.27
2019-08-23,0.27
2019-08-30,0.28
2019-09-08,0.27
2019-09-13,0.26
2019-09-20,0.27
2019-09-27,0.26
2019-10-05,0.27
2019-10-18,0.27
2019-10-25,0.3
2019-11-01,0.4
2019-11-10,0.26
2019-11-15,0.2
2019-11-22,1.2
2019-11-29,1.26
2019-12-04,0.28
2019-12-07,0.25
2019-12-13,0.43
2019-12-20,0.42
2019-12-27,0.42
